learn;prediction;f1;acc;conf;trainable;batch_size
2096.519759654999;3.788007974624634;0.8448844884488449;0.7740384615384616;"[[ 99 135]
 [  6 384]]";True;32
2060.402645111084;3.5422780513763428;0.7951070336391437;0.6778846153846154;"[[ 33 201]
 [  0 390]]";True;32
2114.9070270061493;3.540811061859131;0.826271186440678;0.7371794871794872;"[[ 70 164]
 [  0 390]]";True;64
1721.9355368614197;4.098062038421631;0.7692307692307693;0.625;"[[  0 234]
 [  0 390]]";True;128
1282.2631192207336;4.880896091461182;0.7692307692307693;0.625;"[[  0 234]
 [  0 390]]";True;256
2531.5948407649994;5.1458213329315186;0.8603351955307262;0.7996794871794872;"[[114 120]
 [  5 385]]";True;32
1981.9117443561554;5.231474161148071;0.8449781659388647;0.7724358974358975;"[[ 95 139]
 [  3 387]]";True;32
3534.8978502750397;10.487662315368652;0.8754448398576512;0.8317307692307693;"[[150  84]
 [ 21 369]]";True;32
459.3400123119354;10.683096885681152;0.8357870894677236;0.7676282051282052;"[[110 124]
 [ 21 369]]";False;32
7387.031853675842;22.793176651000977;0.7692307692307693;0.625;"[[  0 234]
 [  0 390]]";True;32
1272.3296020030975;22.716917514801025;0.8847497089639115;0.8413461538461539;"[[145  89]
 [ 10 380]]";False;32
